tradetime,open,high,low,close,close(2),volume
10/13/2018 02:35:00,6199.5,6206,6199.5,6202,6202,6358552
10/13/2018 02:40:00,6202,6202.5,6202,6202.5,6202.5,947225
10/13/2018 02:45:00,6202.5,6206,6202,6204,6204,2257641
10/13/2018 02:50:00,6204,6204.5,6200.5,6201,6201,2485146
10/13/2018 02:55:00,6201,6201,6200.5,6201,6201,496848
10/13/2018 03:00:00,6201,6201,6200.5,6201,6201,408608
10/13/2018 03:05:00,6201,6201,6200.5,6201,6201,216868
10/13/2018 03:10:00,6201,6201,6200.5,6201,6201,310696
10/13/2018 03:15:00,6201,6201.5,6200.5,6201,6201,1804354
10/13/2018 03:20:00,6201,6203,6201,6202.5,6202.5,829583
10/13/2018 03:25:00,6202.5,6208,6202.5,6208,6208,2636168
10/13/2018 03:30:00,6208,6208,6206.5,6207,6207,1745717
10/13/2018 03:35:00,6207,6207,6205.5,6206,6206,973081
10/13/2018 03:40:00,6206,6206,6205.5,6206,6206,588716
10/13/2018 03:45:00,6206,6206.5,6205.5,6206.5,6206.5,906777
10/13/2018 03:50:00,6206.5,6210,6206,6209.5,6209.5,3204087
10/13/2018 03:55:00,6209.5,6210,6209.5,6210,6210,548672
10/13/2018 04:00:00,6210,6212,6209.5,6211.5,6211.5,1770308
10/13/2018 04:05:00,6211.5,6212.5,6211.5,6212,6212,765625
10/13/2018 04:10:00,6212,6212.5,6212,6212,6212,569089
10/13/2018 04:15:00,6212,6212,6208,6208,6208,3713155
10/13/2018 04:20:00,6208,6208.5,6208,6208,6208,122466
10/13/2018 04:25:00,6208,6208.5,6208,6208,6208,168502
10/13/2018 04:30:00,6208,6208.5,6208,6208,6208,230275
10/13/2018 04:35:00,6208,6208.5,6208,6208,6208,290015
10/13/2018 04:40:00,6208,6208.5,6208,6208.5,6208.5,276989
10/13/2018 04:45:00,6208.5,6208.5,6208,6208,6208,106322
10/13/2018 04:50:00,6208,6213,6208,6211.5,6211.5,4427134
10/13/2018 04:55:00,6211.5,6212,6211.5,6211.5,6211.5,1429697
10/13/2018 05:00:00,6211.5,6212,6211.5,6212,6212,713216
10/13/2018 05:05:00,6212,6212,6211.5,6211.5,6211.5,704830
10/13/2018 05:10:00,6211.5,6214.5,6211.5,6214,6214,1479447
10/13/2018 05:15:00,6214,6214.5,6214,6214.5,6214.5,914010
10/13/2018 05:20:00,6214.5,6215,6213,6213,6213,2411904
10/13/2018 05:25:00,6213,6213,6211,6211.5,6211.5,1466520
10/13/2018 05:30:00,6211.5,6213,6211.5,6213,6213,453561
10/13/2018 05:35:00,6213,6213,6212.5,6212.5,6212.5,443221
10/13/2018 05:40:00,6212.5,6213,6212.5,6212.5,6212.5,203218
10/13/2018 05:45:00,6212.5,6213,6212.5,6212.5,6212.5,337405
10/13/2018 05:50:00,6212.5,6213,6207.5,6208,6208,3286020
10/13/2018 05:55:00,6208,6208,6198,6198.5,6198.5,6981083
10/13/2018 06:00:00,6198.5,6198.5,6197,6197,6197,1803521
10/13/2018 06:05:00,6197,6203.5,6195.5,6196.5,6196.5,8564325
10/13/2018 06:10:00,6196.5,6197,6180,6189,6189,21647717
10/13/2018 06:15:00,6189,6189.5,6186.5,6189.5,6189.5,4717350
10/13/2018 06:20:00,6189.5,6191.5,6189,6191.5,6191.5,2053123
10/13/2018 06:25:00,6191.5,6191.5,6185.5,6185.5,6185.5,3120702
10/13/2018 06:30:00,6185.5,6189.5,6177.5,6187,6187,7775370
10/13/2018 06:35:00,6187,6195,6185.5,6194,6194,5118024
10/13/2018 06:40:00,6194,6194.5,6194,6194.5,6194.5,972551
10/13/2018 06:45:00,6194.5,6194.5,6194,6194.5,6194.5,818294
10/13/2018 06:50:00,6194.5,6194.5,6192,6192,6192,1498153
10/13/2018 06:55:00,6192,6192.5,6192,6192.5,6192.5,417127
10/13/2018 07:00:00,6192.5,6196,6192,6196,6196,3189137
10/13/2018 07:05:00,6196,6198,6195.5,6198,6198,1039048
10/13/2018 07:10:00,6198,6198,6194,6194,6194,1916030
10/13/2018 07:15:00,6194,6194.5,6194,6194.5,6194.5,336856
10/13/2018 07:20:00,6194.5,6195,6194,6195,6195,1172108
10/13/2018 07:25:00,6195,6195,6194.5,6195,6195,254573
10/13/2018 07:30:00,6195,6195,6190,6190,6190,2321241
10/13/2018 07:35:00,6190,6190.5,6185.5,6188,6188,3020435
10/13/2018 07:40:00,6188,6189,6188,6188.5,6188.5,752954
10/13/2018 07:45:00,6188.5,6190.5,6188.5,6189.5,6189.5,2347496
10/13/2018 07:50:00,6189.5,6190,6184,6184,6184,5285469
10/13/2018 07:55:00,6184,6184.5,6182.5,6182.5,6182.5,3226254
10/13/2018 08:00:00,6182.5,6186,6176,6181,6181,12882667
10/13/2018 08:05:00,6181,6208,6181.5,6204.5,6204.5,15065215
10/13/2018 08:10:00,6204.5,6212.5,6201,6209,6209,13447271
10/13/2018 08:15:00,6209,6212,6197,6201,6201,14422134
10/13/2018 08:20:00,6201,6201.5,6196,6199,6199,6102954
10/13/2018 08:25:00,6199,6204,6198.5,6204,6204,1674771
